instance,worse,median,best,seed1,fitness1,time1,seed2,fitness2,time2,seed3,fitness3,time3,seed4,fitness4,time4,seed5,fitness5,time5
eil51_n50_bounded-strongly-corr_01,4269.35619138008,4269.35619138008,4269.35619138008,1,4269.35619138008,0.577248526,121,4269.35619138008,0.120531164,241,4269.35619138008,0.765882029,361,4269.35619138008,1.883395584,481,4269.35619138008,0.738171039
eil51_n50_bounded-strongly-corr_02,5571.16276946415,5571.16276946415,5571.16276946415,2,5571.16276946415,0.506211913,122,5571.16276946415,0.107671313,242,5571.16276946415,7.342019683,362,5571.16276946415,4.502341274,482,5571.16276946415,1.939470695
eil51_n50_bounded-strongly-corr_03,5884.50817783347,5884.50817783347,5884.50817783347,3,5884.50817783347,2.848113548,123,5884.50817783347,1.092434439,243,5884.50817783347,2.551423185,363,5884.50817783347,5.378301799,483,5884.50817783347,56.827537881
eil51_n50_bounded-strongly-corr_04,6396.85436676474,6396.85436676474,6396.85436676474,4,6396.85436676474,1.413230246,124,6396.85436676474,6.31708186,244,6396.85436676474,18.241030295,364,6396.85436676474,35.825539546,484,6396.85436676474,10.652353392
eil51_n50_bounded-strongly-corr_05,5138.38852170476,5138.38852170476,5138.38852170476,5,5138.38852170476,18.823501737,125,5138.38852170476,8.609235228,245,5138.38852170476,15.828361846,365,5138.38852170476,8.597616154,485,5138.38852170476,0.657660119
eil51_n50_bounded-strongly-corr_06,7113.7162317166,7113.7162317166,7113.7162317166,6,7113.7162317166,135.536648189,126,7113.7162317166,268.839949625,246,7113.7162317166,87.748302663,366,7113.7162317166,178.851676776,486,7113.7162317166,14.907246646
eil51_n50_bounded-strongly-corr_07,8450.16857090711,8450.16857090711,8450.16857090711,7,8450.16857090711,0.728195778,127,8450.16857090711,0.66033648,247,8450.16857090711,0.622251456,367,8450.16857090711,0.290323272,487,8450.16857090711,1.932522651
eil51_n50_bounded-strongly-corr_08,7341.73876842129,7341.73876842129,7341.73876842129,8,7341.73876842129,1.65887962,128,7341.73876842129,0.787980889,248,7341.73876842129,1.91227597,368,7341.73876842129,1.727573992,488,7341.73876842129,0.469057904
eil51_n50_bounded-strongly-corr_09,6816.4250097555,6823.65472319833,6823.65472319833,9,6823.65472319833,7.181192348,129,6823.65472319833,20.585252537,249,6823.65472319833,196.27398798,369,6816.4250097555,26.046869628,489,6823.65472319833,99.224461523
eil51_n50_bounded-strongly-corr_10,11136.1308915655,11136.1308915655,11136.1308915655,10,11136.1308915655,5.557325899,130,11136.1308915655,6.768226632,250,11136.1308915655,7.001235113,370,11136.1308915655,5.327050592,490,11136.1308915655,0.789647545
eil51_n50_uncorr-similar-weights_01,1459.95343631154,1459.95343631154,1459.95343631154,11,1459.95343631154,0.512836934,131,1459.95343631154,0.153647929,251,1459.95343631154,1.62976256,371,1459.95343631154,2.58756007,491,1459.95343631154,0.844724864
eil51_n50_uncorr-similar-weights_02,3791.82837279947,3791.82837279947,3791.82837279947,12,3791.82837279947,0.143830956,132,3791.82837279947,0.339996011,252,3791.82837279947,0.073914382,372,3791.82837279947,0.640689591,492,3791.82837279947,0.083110999
eil51_n50_uncorr-similar-weights_03,4514.78687510252,4514.78687510252,4514.78687510252,13,4514.78687510252,3.540422434,133,4514.78687510252,7.542898199,253,4514.78687510252,3.60789957,373,4514.78687510252,2.32557498,493,4514.78687510252,0.965415673
eil51_n50_uncorr-similar-weights_04,3233.64241302913,3233.64241302913,3233.64241302913,14,3233.64241302913,4.96957681,134,3233.64241302913,4.869722285,254,3233.64241302913,1.325269484,374,3233.64241302913,1.899774414,494,3233.64241302913,18.558008598
eil51_n50_uncorr-similar-weights_05,2171.98506713322,2171.98506713322,2171.98506713322,15,2171.98506713322,6.130641284,135,2171.98506713322,1.396189389,255,2171.98506713322,1.336545709,375,2171.98506713322,0.215204151,495,2171.98506713322,1.524482493
eil51_n50_uncorr-similar-weights_06,2742.66014299283,2742.66014299283,2742.66014299283,16,2742.66014299283,0.456062218,136,2742.66014299283,0.615127009,256,2742.66014299283,1.003000373,376,2742.66014299283,0.269079685,496,2742.66014299283,2.081452346
eil51_n50_uncorr-similar-weights_07,2867.27912562954,2867.27912562954,2867.27912562954,17,2867.27912562954,0.067795486,137,2867.27912562954,0.680532821,257,2867.27912562954,0.101066767,377,2867.27912562954,0.081717132,497,2867.27912562954,0.057164078
eil51_n50_uncorr-similar-weights_08,3483.78572920619,3483.78572920619,3483.78572920619,18,3483.78572920619,3.734655267,138,3483.78572920619,0.929625662,258,3483.78572920619,6.955158487,378,3483.78572920619,0.405327621,498,3483.78572920619,0.084966789
eil51_n50_uncorr-similar-weights_09,4200.02452064936,4200.02452064936,4200.02452064936,19,4200.02452064936,48.755543585,139,4200.02452064936,5.048736806,259,4200.02452064936,18.533018889,379,4200.02452064936,40.82343666,499,4200.02452064936,103.596126828
eil51_n50_uncorr-similar-weights_10,5631.51728895724,5631.51728895724,5631.51728895724,20,5631.51728895724,1.140369949,140,5631.51728895724,7.388036356,260,5631.51728895724,4.913301473,380,5631.51728895724,2.558454158,500,5631.51728895724,5.264074982
eil51_n50_uncorr_01,2871.36457410347,2871.36457410347,2871.36457410347,21,2871.36457410347,5.278882217,141,2871.36457410347,0.818261596,261,2871.36457410347,1.973825046,381,2871.36457410347,4.600642429,501,2871.36457410347,1.867015543
eil51_n50_uncorr_02,4892.49160294201,4892.49160294201,4892.49160294201,22,4892.49160294201,3.796334029,142,4892.49160294201,48.030223006,262,4892.49160294201,68.520271616,382,4892.49160294201,8.080573817,502,4892.49160294201,17.554369799
eil51_n50_uncorr_03,5404.1569630165,5404.1569630165,5404.1569630165,23,5404.1569630165,0.116952831,143,5404.1569630165,1.31004234,263,5404.1569630165,0.293524536,383,5404.1569630165,0.129393194,503,5404.1569630165,1.262568332
eil51_n50_uncorr_04,3013.16109383344,3013.16109383344,3013.16109383344,24,3013.16109383344,0.184108729,144,3013.16109383344,1.394425951,264,3013.16109383344,1.683957112,384,3013.16109383344,0.805377872,504,3013.16109383344,0.760645559
eil51_n50_uncorr_05,4407.55531615841,4407.55531615841,4407.55531615841,25,4407.55531615841,4.476226193,145,4407.55531615841,6.907339172,265,4407.55531615841,13.154169939,385,4407.55531615841,4.668761205,505,4407.55531615841,13.955967649
eil51_n50_uncorr_06,4440.08320231129,4440.08320231129,4440.08320231129,26,4440.08320231129,8.985075209,146,4440.08320231129,5.322725431,266,4440.08320231129,2.330393652,386,4440.08320231129,1.856128485,506,4440.08320231129,0.077330272
eil51_n50_uncorr_07,4164.81437207154,4164.81437207154,4164.81437207154,27,4164.81437207154,1.903676906,147,4164.81437207154,0.176914377,267,4164.81437207154,2.460065089,387,4164.81437207154,1.296237149,507,4164.81437207154,2.257892862
eil51_n50_uncorr_08,4827.39226101945,4827.39226101945,4827.39226101945,28,4827.39226101945,0.494058969,148,4827.39226101945,1.670747443,268,4827.39226101945,0.648627615,388,4827.39226101945,1.424161424,508,4827.39226101945,0.944154449
eil51_n50_uncorr_09,6124.12266549458,6124.12266549458,6124.12266549458,29,6124.12266549458,0.053540526,149,6124.12266549458,0.195981458,269,6124.12266549458,0.153122219,389,6124.12266549458,0.110588076,509,6124.12266549458,0.255313869
eil51_n50_uncorr_10,6905.73893324142,6905.73893324142,6905.73893324142,30,6905.73893324142,0.592100576,150,6905.73893324142,2.666833698,270,6905.73893324142,3.466093102,390,6905.73893324142,4.141269328,510,6905.73893324142,0.193226453
