instance,MEA2P
kroA100_n99_bounded-strongly-corr_02,10202
kroA100_n99_bounded-strongly-corr_03,12648
kroA100_n99_bounded-strongly-corr_04,15447
kroA100_n99_bounded-strongly-corr_05,20156
kroA100_n99_bounded-strongly-corr_06,21902
kroA100_n99_bounded-strongly-corr_07,23332
kroA100_n99_bounded-strongly-corr_08,23000
kroA100_n99_bounded-strongly-corr_09,23355
kroA100_n99_bounded-strongly-corr_10,23785
kroA100_n99_uncorr_01,3965
kroA100_n99_uncorr_02,7375
kroA100_n99_uncorr_03,7896
kroA100_n99_uncorr_04,10758
kroA100_n99_uncorr_05,10991
kroA100_n99_uncorr_06,11857
kroA100_n99_uncorr_07,12417
kroA100_n99_uncorr_08,14861
kroA100_n99_uncorr_09,15664
kroA100_n99_uncorr_10,16501
kroA100_n99_uncorr-similar-weights_01,2368
kroA100_n99_uncorr-similar-weights_02,6129
kroA100_n99_uncorr-similar-weights_03,8578
kroA100_n99_uncorr-similar-weights_04,9594
kroA100_n99_uncorr-similar-weights_05,9722
kroA100_n99_uncorr-similar-weights_06,11818
kroA100_n99_uncorr-similar-weights_07,13227
kroA100_n99_uncorr-similar-weights_08,13846
kroA100_n99_uncorr-similar-weights_09,15376
kroA100_n99_uncorr-similar-weights_10,16050
pr76_n75_bounded-strongly-corr_01,2796
pr76_n75_bounded-strongly-corr_02,4909
pr76_n75_bounded-strongly-corr_03,7492
pr76_n75_bounded-strongly-corr_04,7222
pr76_n75_bounded-strongly-corr_05,12887
pr76_n75_bounded-strongly-corr_06,15258
pr76_n75_bounded-strongly-corr_07,17274
pr76_n75_bounded-strongly-corr_08,20793
pr76_n75_bounded-strongly-corr_09,22541
pr76_n75_bounded-strongly-corr_10,25760
pr76_n75_uncorr_01,5105
pr76_n75_uncorr_02,7604
pr76_n75_uncorr_03,9293
pr76_n75_uncorr_04,8664
pr76_n75_uncorr_05,9664
pr76_n75_uncorr_06,10238
pr76_n75_uncorr_07,11904
pr76_n75_uncorr_08,11738
pr76_n75_uncorr_09,11431
pr76_n75_uncorr_10,14140
pr76_n75_uncorr-similar-weights_01,2681
pr76_n75_uncorr-similar-weights_02,4723
pr76_n75_uncorr-similar-weights_03,4212
pr76_n75_uncorr-similar-weights_04,6700
pr76_n75_uncorr-similar-weights_05,6754
pr76_n75_uncorr-similar-weights_06,7956
pr76_n75_uncorr-similar-weights_07,8733
pr76_n75_uncorr-similar-weights_08,11037
pr76_n75_uncorr-similar-weights_09,11341
pr76_n75_uncorr-similar-weights_10,12873
rat195_n194_bounded-strongly-corr_01,13749
rat195_n194_bounded-strongly-corr_02,27047
rat195_n194_bounded-strongly-corr_03,29704
rat195_n194_bounded-strongly-corr_04,34442
rat195_n194_bounded-strongly-corr_05,30197
rat195_n194_bounded-strongly-corr_06,35251
rat195_n194_bounded-strongly-corr_07,35548
rat195_n194_bounded-strongly-corr_08,39403
rat195_n194_bounded-strongly-corr_09,42693
rat195_n194_bounded-strongly-corr_10,43695
rat195_n194_uncorr_01,8676
rat195_n194_uncorr_02,15673
rat195_n194_uncorr_03,20852
rat195_n194_uncorr_04,23250
rat195_n194_uncorr_05,25475
rat195_n194_uncorr_06,22571
rat195_n194_uncorr_07,25718
rat195_n194_uncorr_08,24419
rat195_n194_uncorr_09,25202
rat195_n194_uncorr_10,26566
rat195_n194_uncorr-similar-weights_01,5260
rat195_n194_uncorr-similar-weights_02,9843
rat195_n194_uncorr-similar-weights_03,9563
rat195_n194_uncorr-similar-weights_04,11943
rat195_n194_uncorr-similar-weights_05,14983
rat195_n194_uncorr-similar-weights_06,15270
rat195_n194_uncorr-similar-weights_07,18788
rat195_n194_uncorr-similar-weights_08,20757
rat195_n194_uncorr-similar-weights_09,23253
rat195_n194_uncorr-similar-weights_10,25216
berlin52_n153_bounded-strongly-corr_01,10445
berlin52_n153_bounded-strongly-corr_02,18886
berlin52_n153_bounded-strongly-corr_03,24221
berlin52_n153_bounded-strongly-corr_04,34901
berlin52_n153_bounded-strongly-corr_05,37527
berlin52_n153_bounded-strongly-corr_06,45180
berlin52_n153_bounded-strongly-corr_07,46969
berlin52_n153_bounded-strongly-corr_08,52380
berlin52_n153_bounded-strongly-corr_09,50010
berlin52_n153_bounded-strongly-corr_10,51334
berlin52_n153_uncorr_01,11201
berlin52_n153_uncorr_02,12839
berlin52_n153_uncorr_03,18812
berlin52_n153_uncorr_04,20611
berlin52_n153_uncorr_05,20521
