instance,tsp,cities,items,type,capacity,best,algo,S1,S2,S3,S4,S5,C1,C2,C3,C4,C5,C6,MATLS,DH,M3,M4,M3B,M4B,RLS,EA,SH,NDSBRKGA,WSM,JK17,JC17,MY17,WC17,HLS,CS2SA*,CS2SA-R,JNB,J2B,MEA2P,COCO,COCOP,COCOL
eil51_n50_uncorr_03,eil51,51,1,unc,3,5404.0,"M4,M4B,JC17,MEA2P",4166.336875,4162.629901,4166.336875,4166.336875,4166.336875,3997.748635,4166.336875,4166.336875,4166.336875,4166.336875,4166.336875,5042.25,1396.31,5094.280481,5404.156963,5284.017794,5404.156963,4162.629901,4162.629901,-1094.82,4792.304765,4988.84978,-inf,5404.15696301649,4675.87502533511,-inf,-inf,-inf,-inf,-inf,-inf,5404.0,-inf,-inf,-inf
eil51_n50_uncorr_04,eil51,51,1,unc,4,3013.0,"M4,M4B,JC17,MEA2P",1039.295405,1443.060368,1448.66604,1446.981509,1446.981509,1230.801756,1448.66604,1446.981509,1448.66604,1446.981509,1448.66604,2578.79,-744.19,2706.107656,3013.161094,2706.107656,3013.161094,1444.555686,1444.555686,-4427.14,2100.48684,2448.88653,-inf,3013.16109383343,2073.65120588101,-inf,-inf,-inf,-inf,-inf,-inf,3013.0,-inf,-inf,-inf
eil51_n50_uncorr_05,eil51,51,1,unc,5,4408.0,"M4,M4B,JC17,MEA2P",2576.047923,2935.598569,3000.748615,3119.108647,2926.244348,2620.904812,3000.748615,3121.260231,3000.748615,3121.260231,3123.484274,4000.57,422.08,4091.688638,4407.555316,4091.688638,4407.555316,2963.392513,2997.292348,-2480.83,3386.38465,3916.05935,-inf,4407.55531615841,3616.33712369144,-inf,-inf,-inf,-inf,-inf,-inf,4408.0,-inf,-inf,-inf
eil51_n50_uncorr_06,eil51,51,1,unc,6,4744.0,JNB,2830.003068,3313.352419,3316.671814,3419.837808,3316.671814,2833.482951,2833.482951,3419.837808,3419.837808,3419.837808,3419.837808,4056.25,1542.12,4226.942831,4438.569768,4226.942831,4440.083202,3313.352419,3313.352419,-2310.64,4085.1469,3883.9419,-inf,4440.08320231129,3969.34190758034,-inf,-inf,-inf,-inf,4744.0,4604.0,4440.0,-inf,-inf,-inf
eil51_n50_uncorr_07,eil51,51,1,unc,7,4165.0,"JC17,MEA2P",2643.282348,3201.74609,3204.741297,3252.986936,3204.741297,2643.282348,2643.282348,3260.398439,3260.398439,3260.398439,3260.398439,3970.98,2104.97,4007.877335,4124.294378,4033.901745,4142.423319,3201.74609,3201.74609,-3173.32,3937.50598,3777.24759,-inf,4164.81437207154,3562.11762747698,-inf,-inf,-inf,-inf,-inf,-inf,4165.0,-inf,-inf,-inf
eil51_n50_uncorr_08,eil51,51,1,unc,8,4827.0,"JC17,MEA2P",3903.518961,3900.920763,3932.430358,3903.518961,3903.518961,3903.518961,3932.430358,3903.518961,3932.430358,3903.518961,3932.430358,4423.49,3403.38,4652.356441,4755.22566,4767.106626,4789.931759,3929.83216,3929.83216,-1727.21,4590.98769,4381.53929,-inf,4827.39226101945,3661.60295941717,-inf,-inf,-inf,-inf,-inf,-inf,4827.0,-inf,-inf,-inf
eil51_n50_uncorr_09,eil51,51,1,unc,9,6124.0,"JC17,MEA2P",4791.576999,5297.875873,5299.940058,5299.940058,5299.940058,4791.576999,5299.940058,5299.940058,5299.940058,5299.940058,5299.940058,5842.04,4488.02,5902.73481,6121.034561,5967.979993,6122.054128,5297.875873,5297.875873,-137.69,5427.63479,5593.4729,-inf,6124.12266549457,6122.05412833742,-inf,-inf,-inf,-inf,-inf,-inf,6124.0,-inf,-inf,-inf
eil51_n50_uncorr_10,eil51,51,1,unc,10,7481.0,JNB,5675.439825,6129.692033,6129.692033,6130.088433,6130.088433,6130.088433,5676.232021,6130.088433,6130.088433,6130.088433,6130.088433,6466.18,5493.52,6716.522603,6763.875009,6716.522603,6820.755951,6130.088433,6130.088433,3611.07,6217.3102,6392.32917,-inf,6905.73893324141,6684.12459420115,-inf,-inf,-inf,-inf,7481.0,7446.0,6906.0,-inf,-inf,-inf
eil51_n50_uncorr-similar-weights_01,eil51,51,1,usw,1,1460.0,"JC17,MEA2P",585.8906961,1238.332983,585.8906961,811.4255695,1238.332983,1238.332983,1066.718903,1238.332983,1238.332983,1238.332983,1238.332983,1415.81,1116.43,1425.029248,1448.493436,1426.566246,1447.456486,473.436629,1238.332983,1116.43,1361.53806,1314.34757,-inf,1459.95343631153,1313.92780875012,-inf,-inf,-inf,-inf,-inf,-inf,1460.0,-inf,-inf,-inf
eil51_n50_uncorr-similar-weights_02,eil51,51,1,usw,2,3792.0,"JC17,MEA2P",2054.174626,3318.313912,2081.110669,3320.075127,3318.313912,3320.075127,2508.986669,3320.075127,3320.075127,3320.075127,3320.075127,3614.32,2710.31,3653.842489,3742.214117,3730.580146,3768.74469,2035.578755,3318.313912,2710.31,3597.39183,3318.3139,-inf,3791.82837279946,3188.41236765324,-inf,-inf,-inf,-inf,-inf,-inf,3792.0,-inf,-inf,-inf
eil51_n50_uncorr-similar-weights_03,eil51,51,1,usw,3,4515.0,"JC17,MEA2P",2337.362289,3890.930548,2337.362289,3890.930548,3890.930548,3413.309032,3151.817538,3890.930548,3890.930548,3890.930548,3890.930548,4320.51,2446.54,4325.056739,4404.099654,4354.40011,4433.464095,3182.73557,3890.930548,2161.87,4154.20572,3890.93051,-inf,4514.78687510251,3890.78245997853,-inf,-inf,-inf,-inf,-inf,-inf,4515.0,-inf,-inf,-inf
eil51_n50_uncorr-similar-weights_04,eil51,51,1,usw,4,3234.0,"JC17,MEA2P",750.3350999,2531.890084,2531.890084,2531.890084,2531.890084,750.3350999,750.3350999,2531.890084,2531.890084,2531.890084,2531.890084,3159.65,1113.41,3097.608351,3159.654592,3097.608351,3159.654592,2486.610215,2531.890084,451.29,2606.084875,2531.8901,-inf,3233.64241302913,2509.12539282195,-inf,-inf,-inf,-inf,-inf,-inf,3234.0,-inf,-inf,-inf
eil51_n50_uncorr-similar-weights_05,eil51,51,1,usw,5,2172.0,"JC17,MEA2P",-704.1488389,1373.183865,1373.183865,1373.183865,1373.183865,1373.183865,-704.1488389,1373.183865,1373.183865,1373.183865,1373.183865,1946.37,270.1,1944.344807,2112.841133,1944.344807,2133.566017,1373.183865,1373.183865,-1289.61,1391.94178,1622.11718,-inf,2171.98506713321,1318.65120633833,-inf,-inf,-inf,-inf,-inf,-inf,2172.0,-inf,-inf,-inf
