instance,JNB,J2B
dsj1000_n9990_uncorr-similar-weights_06,757347,757041
rl1304_n13030_uncorr-similar-weights_06,-113919,-177210
eil51_n500_uncorr-similar-weights_10,65425,65425
berlin52_n510_uncorr-similar-weights_10,79530,79530
eil76_n750_uncorr-similar-weights_10,101126,101126
kroA100_n990_uncorr-similar-weights_10,136263,141826
pr124_n1230_uncorr-similar-weights_10,162537,128560
ch150_n1490_uncorr-similar-weights_10,176079,169410
u159_n1580_uncorr-similar-weights_10,217931,188954
kroA200_n1990_uncorr-similar-weights_10,267436,268353
ts225_n2240_uncorr-similar-weights_10,310089,3186
a280_n2790_uncorr-similar-weights_10,249661,35593
lin318_n3170_uncorr-similar-weights_10,310881,-306403
u574_n5730_uncorr-similar-weights_10,829432,828576
u724_n7230_uncorr-similar-weights_10,861585,828037
dsj1000_n9990_uncorr-similar-weights_10,1284257,1283538
rl1304_n13030_uncorr-similar-weights_10,822586,776959
eil51_n500_bounded-strongly-corr_06,94337,94200
berlin52_n510_bounded-strongly-corr_06,113818,113818
eil76_n750_bounded-strongly-corr_06,138159,138159
kroA100_n990_bounded-strongly-corr_06,186547,204392
pr124_n1230_bounded-strongly-corr_06,240058,258776
ch150_n1490_bounded-strongly-corr_06,256254,233334
u159_n1580_bounded-strongly-corr_06,287551,240528
kroA200_n1990_bounded-strongly-corr_06,358811,360889
ts225_n2240_bounded-strongly-corr_06,538750,235789
a280_n2790_bounded-strongly-corr_06,388762,91306
lin318_n3170_bounded-strongly-corr_06,319823,160915
u574_n5730_bounded-strongly-corr_06,1052371,1051570
u724_n7230_bounded-strongly-corr_06,1127709,1096003
dsj1000_n9990_bounded-strongly-corr_06,1695939,1695168
rl1304_n13030_bounded-strongly-corr_06,1713492,1636605
eil51_n500_bounded-strongly-corr_10,100455,102066
berlin52_n510_bounded-strongly-corr_10,118167,137949
eil76_n750_bounded-strongly-corr_10,159321,159321
kroA100_n990_bounded-strongly-corr_10,193124,207846
pr124_n1230_bounded-strongly-corr_10,193124,273036
ch150_n1490_bounded-strongly-corr_10,251613,201398
u159_n1580_bounded-strongly-corr_10,224417,283721
kroA200_n1990_bounded-strongly-corr_10,389017,392880
ts225_n2240_bounded-strongly-corr_10,495835,336704
a280_n2790_bounded-strongly-corr_10,570327,91587
lin318_n3170_bounded-strongly-corr_10,284813,-4887
u574_n5730_bounded-strongly-corr_10,1275014,1271965
u724_n7230_bounded-strongly-corr_10,1360216,1323516
dsj1000_n9990_bounded-strongly-corr_10,1954051,1951910
rl1304_n13030_bounded-strongly-corr_10,2352288,2263461
